,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
PDPN,0,1.03306932891339,0.656,0.284,0
TXNIP,0,-1.24941017571496,0.549,0.779,0
TNFAIP6,0,1.46318027907283,0.672,0.296,0
APOD,0,-2.19447923613658,0.225,0.604,0
CXCL14,0,-2.38214277636096,0.52,0.783,0
TNXB,0,-1.32095177455388,0.388,0.735,0
BGN,0,1.34424443812667,0.904,0.616,0
RGS3,0,1.15088671540528,0.705,0.314,0
TNC,0,1.66698461254956,0.728,0.262,0
GSN,0,-2.73560202370676,0.862,0.895,0
PTGDS,0,-2.71480688825854,0.269,0.624,0
ADIRF,0,-1.02348950754817,0.667,0.86,0
ADAM12,0,1.05787344113417,0.526,0.135,0
F10,0,-0.916553289196974,0.142,0.444,0
HIF1A,0,1.21946145818813,0.776,0.356,0
TNFRSF12A,0,1.23375843874718,0.641,0.222,0
CFD,0,-2.38242263337666,0.728,0.899,0
TPM4,0,0.75119644530084,0.924,0.735,0
APOE,0,-2.57293066223639,0.247,0.562,0
MT-ND1,0,-0.802479030488414,0.994,0.997,0
SELENOP,0,-1.39798043789041,0.333,0.75,0
NTRK2,2.19708370900014E-295,-0.902646974982162,0.127,0.421,5.59201745614717E-291
NBL1,3.5020570732288E-290,0.985496590948433,0.912,0.695,8.91343566278194E-286
FGL2,1.59842337742545E-284,-0.901940724836691,0.106,0.377,4.06830718022325E-280
PLPP3,1.88794968823887E-283,-1.18570400581452,0.585,0.784,4.80520954650557E-279
WISP1,9.51363420754462E-281,0.788932253484715,0.486,0.125,2.42141017850426E-276
MFAP4,4.62297963434697E-279,-1.03231181467338,0.628,0.833,1.17664077653399E-274
FBLN2,5.52105355470306E-275,-0.898960484936992,0.784,0.887,1.40521855074302E-270
ALDH1A1,1.06189079059711E-274,-0.788729176615571,0.126,0.403,2.70272444022775E-270
TMSB4X,3.79669010912201E-274,0.910505529177954,0.994,0.979,9.66333566573735E-270
ASPN,2.6067284044333E-273,2.08347139651567,0.596,0.254,6.63464513496362E-269
NNMT,2.48085169740693E-266,0.841524629789807,0.947,0.836,6.31426374024013E-262
CD81,9.23077339220563E-262,-0.91432544593044,0.92,0.922,2.34941644378418E-257
SPRY1,9.93221532171614E-255,-0.8945169571805,0.297,0.594,2.52794744368319E-250
CFH,1.39819819514195E-253,-1.35215671589663,0.663,0.782,3.5586940462753E-249
AHNAK,4.89103549475685E-253,-0.769321218479962,0.802,0.886,1.24486635412551E-248
TGFBI,1.35780046704767E-248,1.2708512155604,0.769,0.505,3.45587374872973E-244
PLAUR,2.6426787788158E-246,0.743377091582769,0.631,0.298,6.72614602784198E-242
CCDC80,2.99995834227162E-244,-0.717995503883743,0.896,0.965,7.63549397274972E-240
SCARA5,6.40288300760582E-243,-1.2367974142324,0.245,0.508,1.62966178309583E-238
PLOD2,1.17404439809484E-242,0.79354992873114,0.514,0.189,2.988177802031E-238
SLC39A14,1.10369154921377E-239,0.836490533867533,0.525,0.199,2.8091157310589E-235
GAPDH,2.15633611097632E-238,0.801540046211205,0.969,0.961,5.48830666965692E-234
SOD3,1.23888267109165E-237,-0.883269135417486,0.705,0.836,3.15320417446246E-233
SPHK1,3.36025249409324E-229,0.668443230610713,0.518,0.183,8.55251464796611E-225
SLC16A3,1.26859686915444E-228,0.76242581168278,0.476,0.157,3.22883275137187E-224
GFRA1,8.45923104924047E-228,-0.493216881978225,0.032,0.217,2.15304348665268E-223
FTH1,4.58024359116196E-227,1.39602468555239,0.996,0.994,1.16576359882254E-222
COL12A1,8.09102685652115E-227,1.06121183673466,0.82,0.585,2.05932815552176E-222
RPLP0,2.2686578817519E-221,0.500003099568883,0.97,0.951,5.77418804063493E-217
SOD2,4.73167810950047E-219,1.19023687342594,0.842,0.64,1.20430671243006E-214
SERPINH1,1.6387219866818E-217,0.688775296420003,0.894,0.765,4.17087520050252E-213
LGALS1,2.03352318149522E-216,0.702491764868248,0.984,0.982,5.17572320154162E-212
RAB31,1.72066294060439E-215,0.700181720052083,0.732,0.415,4.37943131642629E-211
CRABP1,1.39048959273857E-212,-0.941776882906067,0.049,0.245,3.5390741114382E-208
SLIT3,5.74062242490532E-212,-0.879081533459954,0.543,0.731,1.4611032195869E-207
LOXL2,1.3243763512581E-207,0.773317996495534,0.568,0.264,3.3708026892221E-203
COL8A1,7.22673872040205E-207,0.664853267966764,0.439,0.137,1.83934953911673E-202
