from,to,count
ATF2,STXBP5,10
ATF2,MAP3K3,10
ATF2,USP32,10
ATF2,ATF2,10
ATF2,NR2F6,10
ATF3,ZFHX3,10
ATF3,TRIM8,10
ATF3,ZFP36L1,10
ATF3,LMO4,10
ATF3,WTAP,10
ATF3,MIDN,10
ATF3,BBC3,10
ATF3,NFIB,10
ATF3,NR2F2,10
ATF3,MARCKSL1,10
ATF3,MYC,10
ATF3,NR4A2,10
ATF3,BTG1,10
ATF3,ID3,10
ATF3,BNC2,10
ATF3,SMAD7,10
ATF3,KLF2,10
ATF3,CNN1,10
ATF3,BMP2,10
ATF3,NFIL3,10
ATF3,GRASP,10
ATF3,GADD45B,10
ATF3,AFF4,10
ATF3,EGR1,10
ATF3,FOSB,10
ATF3,ID2,10
ATF3,NR4A1,10
ATF3,BCL6,10
ATF3,DUSP5,10
ATF3,ZNF281,10
ATF3,YBX3,10
ATF3,PABPC1,10
ATF3,ID4,10
ATF3,MNT,10
ATF3,NFKBIZ,10
ATF3,KLF7,10
ATF3,JUND,10
ATF3,CYR61,10
ATF3,EIF4A2,10
ATF3,WEE1,10
ATF3,EGR3,10
ATF3,DENND5B,10
ATF3,AMOTL2,10
ATF3,ERF,10
ATF3,ELMSAN1,10
ATF3,FAM84B,10
ATF3,SLC38A2,10
ATF3,CDKN1B,10
ATF3,CDC42EP3,10
ATF3,CEBPB,10
ATF3,CDC42EP4,10
ATF3,C11orf96,10
ATF3,CTNNB1,10
ATF3,KLF6,10
ATF3,TSC22D2,10
ATF3,MYADM,10
ATF3,ATF3,10
ATF3,TGFB2,10
ATF3,KLF9,10
ATF3,AZIN1,10
ATF3,TOB1,10
ATF3,INTS6,10
ATF3,MAFF,10
ATF3,DDX5,10
ATF3,MEG3,10
ATF3,CPEB4,10
ATF3,ICAM1,10
ATF3,SMC4,10
ATF3,SOX4,10
ATF3,PPP1CB,10
ATF3,CCDC71L,10
ATF3,UBC,10
ATF3,NFKB2,10
ATF3,PIM3,10
ATF3,TRIB1,10
ATF3,FOS,10
ATF3,SGK1,10
ATF3,SOCS3,10
ATF3,KLF11,10
ATF3,SERTAD2,10
ATF3,IGFBP4,10
ATF3,VEGFA,10
ATF3,NFKBID,10
ATF3,YPEL2,10
ATF3,TES,10
ATF3,CHD1,10
ATF3,KLF4,10
ATF3,IRF1,10
ATF3,LMCD1,10
ATF3,ING1,10
ATF3,VGLL4,10
ATF3,MAP3K8,10
ATF3,FGF5,10
ATF3,TAOK3,10
ATF3,PGM2L1,10
ATF3,UBE2R2,10
ATF3,NFKBIA,10
ATF3,JUNB,10
ATF3,DNAJA4,10
ATF3,CCNI,10
ATF3,NUDT4,10
ATF3,SOCS1,10
ATF3,GADD45G,10
ATF3,SPSB1,10
ATF3,ANXA1,10
ATF3,ADAMTS1,10
ATF3,ADAMTS4,10
ATF3,SERPINH1,10
ATF3,LIF,10
ATF3,B3GNT2,10
ATF3,KDM6B,10
ATF3,PLK3,10
ATF3,FMO1,10
ATF3,HSPA8,10
ATF3,ERRFI1,10
ATF3,EGR2,10
ATF3,CDKN1A,10
ATF3,ZFAND5,10
ATF3,PDLIM5,10
ATF3,CREB5,10
ATF3,RHOB,10
ATF3,SDC2,10
ATF3,SLC25A37,10
ATF3,TRA2B,10
ATF3,SLC25A5,10
ATF3,MLXIP,10
ATF3,MSX2,10
ATF3,REL,10
ATF3,ATP1A1,10
ATF3,SIAH1,10
ATF3,NECTIN2,10
ATF3,SEZ6L2,10
ATF3,SEMA4A,10
ATF3,ZFP36,10
ATF3,ZFAND2A,10
ATF3,HES4,10
ATF3,CITED2,10
ATF3,GLIS3,10
ATF3,HNRNPH1,10
ATF3,DGKH,10
ATF3,DUSP8,10
ATF3,FGF12,10
ATF3,PLIN2,10
ATF3,TGIF1,10
ATF3,CAMK2N1,10
ATF3,GPBP1,10
ATF3,OSER1,10
ATF3,LRRFIP1,10
ATF3,KMT2E,10
ATF3,PTP4A2,10
ATF3,DDIT4,10
ATF3,TSHZ2,10
ATF3,KLF5,10
ATF3,ARHGEF2,10
ATF3,ITPRIP,10
ATF3,NRIP1,10
ATF3,RBMS1,10
ATF3,EIF1B,10
ATF3,GEM,10
ATF3,PMAIP1,10
ATF3,ZBTB21,10
ATF3,PDE4B,10
ATF3,PIM1,10
ATF3,IER3,10
ATF3,DDX3X,10
ATF3,BHLHE40,10
ATF3,LPP,10
ATF3,NAMPT,10
ATF3,HIST1H2BD,10
ATF3,MXD1,10
ATF3,CLK1,10
ATF3,CPNE1,10
ATF3,TNFAIP3,10
ATF3,MKNK2,10
ATF3,DUSP1,10
ATF3,NEAT1,10
ATF3,FILIP1L,10
ATF3,H2AFX,10
ATF3,SNTB2,10
ATF3,BAG3,10
ATF3,RGS16,10
ATF3,CCNL1,10
ATF3,VIM,10
ATF3,RAP2C,10
ATF3,NEDD9,10
ATF3,CD44,10
ATF3,F3,10
ATF3,ZFP91,10
ATF3,KCNA1,10
ATF3,HSPB1,10
ATF3,HNRNPA0,10
ATF3,PLTP,10
ATF3,NR1D1,10
ATF3,ZC3H12A,10
ATF3,HNRNPU,10
ATF3,AKIRIN1,10
ATF3,THBS1,10
ATF3,BTG2,10
ATF3,TRAF4,10
ATF3,HECA,10
ATF3,BTG3,10
ATF3,ELL2,10
ATF3,JUN,10
ATF3,TUBB2B,10
ATF3,PPP1R15A,10
ATF3,BRD2,10
ATF3,SCG2,10
ATF3,HAS1,10
ATF3,HSPB8,10
ATF3,PDLIM3,10
ATF3,TRA2A,10
ATF3,RCAN1,10
ATF3,SLC25A25,10
ATF3,PNRC1,10
ATF3,HSP90AB1,10
ATF3,PPP1R10,10
ATF3,GPRC5A,10
ATF3,IER2,10
ATF3,IFRD1,10
ATF3,KCNE4,10
ATF3,RNASEK,10
ATF3,SRSF3,10
ATF3,MCL1,10
ATF3,HSPH1,10
ATF3,PTPRE,10
ATF3,PLK2,10
ATF3,ZYX,10
ATF3,GADD45A,10
ATF3,NABP1,10
ATF3,CNN3,10
ATF3,RNF11,10
ATF3,SAT1,10
ATF3,BDKRB1,10
ATF3,CXCL3,10
ATF3,IER5,10
ATF3,TNFAIP8,10
ATF3,CTGF,10
ATF3,LINC00958,10
ATF3,DACT1,10
ATF3,DNAJB4,10
ATF3,CXCL1,10
ATF3,EEF2,10
ATF3,RND3,10
ATF3,ABL2,10
ATF3,PI15,10
ATF3,AMD1,10
ATF3,SIAH2,10
ATF3,DNAJB1,10
ATF3,GLUD1,10
ATF3,DNAJB6,10
ATF3,CD36,10
ATF3,SLC2A3,10
ATF3,UGCG,10
ATF3,DNAJA1,10
ATF3,RTN4,10
ATF3,IL6,10
ATF3,OTUD1,10
ATF3,PAQR3,10
ATF3,ADM,10
ATF3,VCAM1,10
ATF3,SDCBP,10
ATF3,HSPA1A,10
ATF3,PPTC7,10
ATF3,S1PR3,10
ATF3,NPIPB15,10
ATF3,GUCY1A2,10
ATF3,PELI1,10
ATF3,TNFSF9,10
ATF3,HIST1H2AC,10
ATF3,CRYAB,10
ATF3,HSP90AA1,10
ATF3,GCH1,10
ATF3,RGS2,10
ATF3,PPP1R18,10
ATF3,CCL3,10
ATF3,CXCL2,10
ATF3,SERTAD3,10
ATF3,JMJD1C,10
ATF3,UBE2D3,10
